transaction_id,customer_id,amount,merchant_category,hour_of_day,day_of_week,is_international,distance_from_home_km,is_fraud
TXN-0001281,CUST-015,14.96,electronics,14,Sunday,False,0.7,False
TXN-0004727,CUST-032,18.75,electronics,17,Wednesday,False,1.3,False
TXN-0004270,CUST-394,71.67,groceries,19,Saturday,True,15.9,False
TXN-0001501,CUST-123,34.7,fuel,10,Friday,False,2.1,False
TXN-0004393,CUST-071,106.41,groceries,12,Wednesday,False,0.1,False
TXN-0003560,CUST-411,67.62,groceries,7,Monday,False,0.6,False
TXN-0003567,CUST-372,38.43,electronics,20,Friday,False,1.2,False
TXN-0000900,CUST-126,84.95,online_retail,12,Wednesday,False,1.5,False
TXN-0004521,CUST-139,57.44,travel,15,Monday,False,3.0,False
TXN-0003894,CUST-237,84.36,travel,18,Monday,False,13.7,False
TXN-0004595,CUST-180,90.45,cash_withdrawal,16,Thursday,False,5.8,False
TXN-0004883,CUST-439,426.28,travel,13,Sunday,True,3.8,True
TXN-0003050,CUST-082,28.1,restaurants,12,Sunday,False,0.3,False
TXN-0001190,CUST-392,24.47,groceries,14,Friday,False,0.6,False
TXN-0002807,CUST-486,55.12,restaurants,11,Tuesday,False,8.7,False
TXN-0000408,CUST-445,17.22,restaurants,10,Sunday,False,5.9,False
TXN-0000176,CUST-056,200.0,fuel,5,Tuesday,False,0.3,False
TXN-0000288,CUST-191,78.69,groceries,18,Friday,False,3.1,False
TXN-0003385,CUST-303,269.98,online_retail,10,Wednesday,False,1.0,False
TXN-0001324,CUST-077,16.25,groceries,6,Wednesday,False,9.6,False
TXN-0001255,CUST-121,59.52,cash_withdrawal,7,Wednesday,False,5.3,False
TXN-0002303,CUST-028,35.46,restaurants,5,Thursday,False,1.9,False
TXN-0004238,CUST-083,6.88,electronics,10,Saturday,False,9.4,False
TXN-0000332,CUST-164,33.54,online_retail,13,Tuesday,True,4.8,False
TXN-0004412,CUST-004,25.2,cash_withdrawal,13,Monday,True,1.0,False
TXN-0002069,CUST-233,19.51,online_retail,11,Thursday,False,7.5,False
TXN-0004924,CUST-438,614.49,restaurants,1,Wednesday,False,27.6,True
TXN-0004608,CUST-181,75.19,cash_withdrawal,17,Friday,False,1.4,False
TXN-0002792,CUST-398,41.94,groceries,14,Tuesday,False,0.1,False
TXN-0001536,CUST-066,44.84,cash_withdrawal,17,Monday,False,3.0,False
TXN-0001910,CUST-370,128.34,electronics,14,Monday,False,3.5,False
TXN-0000837,CUST-170,89.13,electronics,15,Saturday,False,2.4,False
TXN-0003988,CUST-291,23.29,travel,14,Thursday,False,5.3,False
TXN-0000239,CUST-220,823.99,electronics,14,Saturday,False,0.4,False
TXN-0001582,CUST-468,29.19,fuel,11,Wednesday,True,3.5,False
TXN-0001723,CUST-007,21.9,groceries,17,Sunday,False,3.7,False
TXN-0004034,CUST-483,5.62,restaurants,15,Thursday,False,0.1,False
TXN-0001878,CUST-069,33.05,travel,13,Thursday,False,11.9,False
TXN-0003360,CUST-232,79.41,restaurants,17,Friday,False,9.2,False
TXN-0003993,CUST-050,83.77,restaurants,20,Monday,False,4.1,False
TXN-0001300,CUST-482,31.81,groceries,9,Saturday,False,0.1,False
TXN-0000161,CUST-412,20.56,fuel,20,Wednesday,False,3.6,False
TXN-0002428,CUST-204,105.07,fuel,4,Thursday,True,4.4,False
TXN-0004696,CUST-225,179.5,electronics,18,Friday,False,3.3,False
TXN-0003082,CUST-234,336.79,restaurants,1,Tuesday,False,7.5,False
TXN-0000247,CUST-068,46.56,travel,14,Monday,False,7.1,False
TXN-0002591,CUST-390,12.64,travel,15,Wednesday,False,1.9,False
TXN-0002129,CUST-019,231.09,online_retail,22,Friday,True,8.4,False
TXN-0004963,CUST-456,221.83,fuel,17,Wednesday,True,41.3,True
TXN-0002803,CUST-031,200.0,fuel,15,Thursday,False,0.3,False
TXN-0000659,CUST-315,57.01,cash_withdrawal,13,Saturday,False,1.4,False
TXN-0002239,CUST-146,11.33,travel,12,Monday,False,12.1,False
TXN-0000412,CUST-026,15.49,restaurants,21,Saturday,False,2.8,False
TXN-0001677,CUST-034,21.29,cash_withdrawal,8,Sunday,False,2.2,False
TXN-0000065,CUST-275,120.58,electronics,12,Tuesday,False,5.3,False
TXN-0003226,CUST-323,17.37,restaurants,13,Wednesday,False,16.1,False
TXN-0001897,CUST-219,6.88,cash_withdrawal,6,Monday,False,0.2,False
TXN-0004745,CUST-054,25.56,online_retail,12,Saturday,False,15.4,False
TXN-0003212,CUST-446,9.71,restaurants,7,Sunday,False,2.3,False
TXN-0004143,CUST-135,23.44,cash_withdrawal,23,Thursday,False,6.8,False
TXN-0003410,CUST-183,20.45,fuel,11,Monday,False,3.0,False
TXN-0000928,CUST-381,74.75,groceries,17,Sunday,False,13.3,False
TXN-0001016,CUST-496,200.0,electronics,13,Friday,False,1.0,False
TXN-0004940,CUST-158,318.39,online_retail,1,Tuesday,False,172.9,True
TXN-0000829,CUST-344,24.38,travel,13,Thursday,False,1.0,False
TXN-0002774,CUST-303,8.8,online_retail,23,Friday,False,5.1,False
TXN-0004171,CUST-457,326.26,restaurants,16,Friday,False,10.7,False
TXN-0004843,CUST-314,42.3,groceries,20,Monday,False,1.1,False
TXN-0003549,CUST-240,17.27,groceries,14,Monday,False,6.6,False
TXN-0004291,CUST-165,20.37,restaurants,16,Saturday,False,4.9,False
TXN-0001926,CUST-128,41.3,fuel,23,Tuesday,False,11.4,False
TXN-0001084,CUST-368,72.1,travel,13,Friday,False,4.2,False
TXN-0000794,CUST-099,14.93,online_retail,23,Saturday,False,3.1,False
TXN-0003509,CUST-032,48.57,cash_withdrawal,13,Thursday,False,2.3,False
TXN-0003773,CUST-197,22.99,online_retail,16,Friday,False,11.0,False
TXN-0000353,CUST-151,13.9,electronics,9,Tuesday,False,3.6,False
TXN-0004269,CUST-463,137.71,online_retail,16,Monday,False,8.1,False
TXN-0000955,CUST-304,22.48,cash_withdrawal,9,Sunday,False,14.1,False
TXN-0002802,CUST-160,6.09,electronics,13,Saturday,False,1.8,False
TXN-0000636,CUST-233,10.9,online_retail,11,Friday,False,0.5,False
TXN-0001970,CUST-126,47.01,travel,15,Thursday,False,1.2,False
TXN-0003327,CUST-236,103.05,fuel,4,Wednesday,False,7.8,False
TXN-0000633,CUST-247,84.45,electronics,14,Tuesday,False,15.8,False
TXN-0004797,CUST-125,25.43,electronics,21,Wednesday,False,6.5,False
