Itinerary ID,Travel Date,Traveller Name,Travel Type,Trip Length (Days),Total £,Net £,Tax £,Detail,Reason for Travel
103533993,09/03/2020,Abigail Marshall Katung,Train,,33.9,33.9,0,Leeds - Coventry (Advance Single),Conference - as an attendee
103533626,11/03/2020,Abigail Marshall Katung,Train,,66.2,66.2,0,Coventry - Leeds (Off-Peak Single),Conference - as an attendee
102425812,24/10/2019,Andrew Scopes,Hotel,1,83,69.17,13.83,"ibis Cambridge Central Station, 24/10/2019, 1 night",Meeting with other public sector organisations
102425835,24/10/2019,Andrew Scopes,Train,,26,26,0,Leeds - Cambridge (Advance Single),Meeting with other public sector organisations
102425836,25/10/2019,Andrew Scopes,Train,,50.8,50.8,0,Cambridge - Leeds (Super Off-Peak Single (Online)),Meeting with other public sector organisations
101476745,01/07/2019,Barry Anderson,Hotel,3,255,212.5,42.5,"The Hop Inn, 01/07/2019, 3 nights",Conference - as an attendee
101571656,10/06/2019,Debra Coupar,Train,,265,265,0,Leeds - London Kings Cross (Anytime Return),Member portfolio/Council business (Elected Members only)
101477138,02/07/2019,Debra Coupar,Hotel,2,191.35,159.46,31.89,"Travelodge Bournemouth Seafront, 02/07/2019, 2 nights",Conference - as an attendee
101516923,02/07/2019,Debra Coupar,Train,,14.3,14.3,0,Southampton Airport Parkway - Bournemouth (Anytime Day Single),Conference - as an attendee
101516922,02/07/2019,Debra Coupar,Flight,2,360.57,360.57,0,"02-07-2019 - Leeds Bradford International Airport, Leeds, GB (LBA) > Southampton Airport, Southampton, GB (SOU), 04-07-2019 - Southampton Airport, Southampton, GB (SOU) > Leeds Bradford International Airport, Leeds, GB (LBA)",Conference - as an attendee
101516924,04/07/2019,Debra Coupar,Train,,14.3,14.3,0,Bournemouth - Southampton Airport Parkway (Anytime Day Single),Conference - as an attendee
102226608,26/09/2019,Debra Coupar,Train,,59.5,59.5,0,London Kings Cross - Leeds (Advance Single),Meeting with other external bodies
102226607,26/09/2019,Debra Coupar,Train,,139.5,139.5,0,Leeds - London Kings Cross (Anytime Single),Meeting with other external bodies
102882490,08/01/2020,Debra Coupar,Train,,9.3,9.3,0,Leeds - Huddersfield (Anytime Day Return),Member portfolio/Council business (Elected Members only)
103020099,10/01/2020,Debra Coupar,Train,,62.5,62.5,0,Luton - Leeds (Advance Single),Meeting with other external bodies
103020098,10/01/2020,Debra Coupar,Train,,46,46,0,Leeds - Luton (Advance Single),Meeting with other external bodies
101330310,09/05/2019,Denise Ragan,Train,,192,192,0,Leeds - London Kings Cross (Off-Peak Return),Conference - as an attendee
102552587,28/11/2019,Eileen Taylor,Train,,46.5,46.5,0,Leeds - London Kings Cross (Advance Single),LCC hosted event - LCC funded
102552726,28/11/2019,Eileen Taylor,Train,,29,29,0,London Kings Cross - Leeds (Advance Single),LCC hosted event - LCC funded
101704297,04/07/2019,Fiona Venner,Train,,132.5,132.5,0,London Kings Cross - Leeds (Anytime Single),Member portfolio/Council business (Elected Members only)
101704296,04/07/2019,Fiona Venner,Train,,132.5,132.5,0,Leeds - London Kings Cross (Anytime Single),Member portfolio/Council business (Elected Members only)
101704298,04/07/2019,Fiona Venner,Travelcard,,13.1,13.1,0,London Travelcard Zones 1-4 (Anytime Day Travelcard) 04-07-2019,Member portfolio/Council business (Elected Members only)
102009120,15/08/2019,Fiona Venner,Hotel,1,65,54.17,10.83,"Brackenrigg Inn, 15/08/2019, 1 night",Member portfolio/Council business (Elected Members only)
102159091,10/09/2019,Fiona Venner,Train,,136.5,136.5,0,London Kings Cross - Leeds (Anytime Single),Member portfolio/Council business (Elected Members only)
102159090,10/09/2019,Fiona Venner,Train,,29,29,0,Leeds - London Kings Cross (Advance Single),Member portfolio/Council business (Elected Members only)
102159089,10/09/2019,Fiona Venner,Travelcard,,13.1,13.1,0,London Travelcard Zones 1-4 (Anytime Day Travelcard) 10-09-2019,Member portfolio/Council business (Elected Members only)
102128796,13/09/2019,Fiona Venner,Train,,65.4,65.4,0,Leeds - Coventry (Off-Peak Return),Member portfolio/Council business (Elected Members only)
102580958,28/11/2019,Fiona Venner,Travelcard,,13.1,13.1,0,London Travelcard Zones 1-4 (Anytime Day Travelcard) 28-11-2019,Meeting with other public sector organisations
