property_id,sale_price,bedrooms,bathrooms,floor_area_sqm,garden_sqm,age_years,distance_to_station_km,distance_to_school_km,neighbourhood,sale_date,epc_rating
PROP-00001,459240,6,2,116.2,0.0,10,0.7,0.9,Hartley,2023-03-28,A
PROP-00002,335640,2,2,65.3,123.8,2,0.5,1.1,Gladstone,2022-09-28,F
PROP-00003,267915,3,2,71.3,89.1,22,0.9,0.7,Yarrow,2022-04-21,E
PROP-00004,426515,3,2,101.5,100.0,4,0.4,0.8,Eastmoor,2024-05-14,C
PROP-00005,512897,5,1,126.2,107.3,150,2.8,3.0,Foxhall,2023-04-30,C
PROP-00006,332773,3,1,100.3,0.0,0,0.8,2.3,Brindley,2024-07-20,C
PROP-00007,418582,3,3,98.1,84.1,6,0.6,3.0,Stoneleigh,2022-05-05,F
PROP-00008,301475,3,3,83.4,112.9,76,0.2,0.3,Dunmore,2023-04-27,D
PROP-00009,240089,2,2,61.5,103.6,21,1.4,0.8,Foxhall,2023-06-19,C
PROP-00010,258672,2,1,49.6,14.6,109,0.1,1.0,Stoneleigh,2022-07-24,B
PROP-00011,373454,3,2,88.4,0.0,11,0.6,0.7,Riverside,2023-09-12,E
PROP-00012,488880,6,2,111.1,123.3,107,0.3,1.9,Ironbridge,2022-08-25,B
PROP-00013,115860,2,1,52.3,51.3,28,0.5,2.1,Beechwood,2022-07-09,E
PROP-00014,417200,3,1,104.8,86.0,12,2.1,0.8,Northgate,2022-01-20,B
PROP-00015,507516,5,2,129.2,102.7,5,0.7,2.0,Brindley,2022-03-23,D
PROP-00016,364601,2,1,81.8,96.2,20,1.6,0.3,Foxhall,2023-04-30,C
PROP-00017,476640,5,1,110.9,86.5,64,3.1,1.5,Ironbridge,2022-11-23,G
PROP-00018,397765,4,1,113.4,0.0,100,0.7,1.6,Dunmore,2023-04-12,C
PROP-00019,123447,1,1,30,99.1,13,1.6,0.6,Chapel End,2023-11-10,A
PROP-00020,317824,2,2,87.4,90.7,52,0.7,0.9,Queensbury,2022-08-25,D
PROP-00021,426414,5,1,130.4,122.4,65,1.8,2.5,Yarrow,2023-02-08,D
PROP-00022,549026,5,2,130.3,153.0,28,1.7,0.5,Westbury,2023-08-29,D
PROP-00023,335026,2,1,82.0,56.2,38,0.6,0.8,Ashworth,2023-09-15,C
PROP-00024,359208,3,1,104.5,71.5,63,4.9,1.3,Victoria,2022-06-23,C
PROP-00025,319954,3,2,64.9,124.7,44,0.5,0.4,Ashworth,2022-04-05,C
PROP-00026,353418,4,1,94.9,64.6,19,0.9,0.3,Westbury,2022-01-12,G
PROP-00027,505591,5,3,116.9,97.7,47,1.0,0.9,Foxhall,2022-09-06,D
PROP-00028,316598,3,2,91.5,85.9,67,3.4,0.6,Foxhall,2024-07-02,C
PROP-00029,375773,4,1,96.3,118.8,58,1.2,1.0,Ironbridge,2024-06-19,B
PROP-00030,211521,2,2,50.3,0.0,6,0.8,0.3,Gladstone,2022-05-12,D
PROP-00031,269403,3,1,89.3,112.4,47,3.0,1.4,Millbrook,2024-09-03,A
PROP-00032,424016,5,1,90.6,148.6,30,2.1,1.5,Elmswood,2023-03-28,D
PROP-00033,240095,1,1,58.8,42.6,25,0.3,1.0,Ashworth,2024-03-17,E
PROP-00034,290840,3,1,73.9,74.4,2,0.8,0.4,Kingsway,2023-11-23,G
PROP-00035,482583,6,1,124.7,89.2,2,4.7,0.4,Castlegate,2022-03-24,G
PROP-00036,191307,1,1,54.1,25.5,25,0.3,2.6,Oakfield,2023-06-09,G
PROP-00037,611371,6,2,148.0,141.1,34,4.1,0.9,Foxhall,2024-02-08,D
PROP-00038,416382,5,1,91.3,89.2,47,0.6,1.1,Brindley,2022-09-05,G
PROP-00039,201849,2,1,58.3,47.2,75,2.7,0.3,Langford,2024-07-30,F
PROP-00040,123740,2,1,39.5,65.1,100,2.3,0.7,Chapel End,2023-07-04,D
PROP-00041,188317,2,2,38.3,36.5,19,0.1,1.7,Ferndale,2024-09-25,C
PROP-00042,245620,3,1,75.3,118.1,32,1.2,0.4,Hartley,2024-04-12,D
PROP-00043,313561,3,2,75.2,105.7,20,0.5,1.1,Langford,2024-08-27,D
PROP-00044,356782,3,1,78.7,62.6,12,0.5,0.3,Gladstone,2023-10-09,B
PROP-00045,169428,3,1,42.2,79.5,57,1.5,3.0,Chapel End,2023-02-02,C
PROP-00046,352329,2,1,79.5,72.7,146,1.3,1.2,Eastmoor,2024-10-02,B
PROP-00047,163873,3,1,64.9,0.0,2,4.3,0.7,Chapel End,2022-05-14,D
PROP-00048,269235,3,1,80.0,95.0,11,1.3,0.6,Thornton,2023-04-08,G
PROP-00049,188909,3,1,51.2,102.5,14,1.6,1.0,Yarrow,2022-07-23,G
PROP-00050,325928,3,1,89.0,0.0,3,0.1,0.7,Thornton,2024-08-20,C
PROP-00051,289792,2,2,63.5,0.0,10,0.6,1.5,Stoneleigh,2023-02-10,D
PROP-00052,234340,2,1,68.1,0.0,2,2.5,0.9,Chapel End,2023-08-15,D
PROP-00053,370522,3,3,95.1,74.8,1,0.9,0.5,Ironbridge,2022-02-22,B
PROP-00054,275468,2,2,73.8,0.0,57,2.7,0.9,Zelton,2022-12-25,D
PROP-00055,199615,3,1,70.0,168.8,67,5.0,0.7,Northgate,2023-11-14,D
PROP-00056,106005,2,2,35.0,113.1,31,1.0,0.5,Kingsway,2022-08-26,G
PROP-00057,437095,3,2,100.9,82.3,21,0.4,0.6,Zelton,2024-10-17,E
PROP-00058,209990,2,1,62.7,91.1,1,1.6,1.5,Westbury,2022-11-21,C
PROP-00059,460940,3,2,118.0,128.1,24,0.3,1.6,Parkside,2023-08-21,D
PROP-00060,244377,3,1,64.1,95.0,36,2.2,0.3,Castlegate,2023-07-20,G
PROP-00061,450957,4,1,113.4,88.1,13,0.6,0.9,Victoria,2024-09-29,C
PROP-00062,210057,2,2,66.7,116.0,150,0.5,0.6,Dunmore,2024-04-21,A
PROP-00063,241759,2,1,73.6,57.3,62,1.7,0.3,Beechwood,2022-09-16,D
PROP-00064,108272,2,2,58.1,0.0,96,0.1,0.3,Dunmore,2022-11-13,B
PROP-00065,202457,2,2,68.5,99.2,78,0.8,0.5,Westbury,2024-09-26,D
PROP-00066,143731,1,1,30,13.7,54,1.0,0.3,Uppermill,2022-07-25,D
PROP-00067,178485,1,1,53.9,0.0,17,0.9,0.4,Northgate,2023-01-04,C
PROP-00068,402159,3,2,97.3,69.3,40,1.0,1.1,Elmswood,2024-08-10,C
PROP-00069,279126,3,1,66.1,93.2,40,0.9,0.4,Dunmore,2023-09-11,C
PROP-00070,277748,2,1,60.9,59.0,0,2.8,0.6,Ashworth,2022-04-11,E
PROP-00071,485748,4,2,118.3,75.2,64,0.5,0.4,Ironbridge,2022-10-08,E
PROP-00072,187081,1,1,55.1,0.0,18,0.3,2.1,Kingsway,2024-04-30,C
PROP-00073,489660,5,1,140.1,112.9,98,4.4,2.9,Jubilee,2023-11-25,G
PROP-00074,276858,2,2,85.8,120.4,51,5.0,2.9,Brindley,2024-01-20,B
PROP-00075,201274,3,1,76.6,69.5,69,4.3,0.3,Hartley,2024-08-23,A
PROP-00076,352260,3,3,69.3,115.3,40,1.0,1.2,Uppermill,2024-04-16,B
PROP-00077,340459,2,1,88.9,0.0,87,0.3,0.7,Victoria,2024-05-08,E
PROP-00078,280064,3,1,70.3,33.5,1,0.8,0.7,Hartley,2024-01-13,B
PROP-00079,513142,6,1,150.6,0.0,12,5.0,2.6,Chapel End,2024-07-20,B
PROP-00080,304218,3,2,76.4,82.0,11,0.3,0.9,Castlegate,2023-03-01,E
PROP-00081,373989,2,1,90.6,119.4,6,0.3,0.4,Ferndale,2022-08-14,E
PROP-00082,398639,5,1,98.4,149.3,0,0.6,0.3,Northgate,2024-12-13,B
PROP-00083,219468,4,2,79.9,0.0,28,4.5,0.2,Brindley,2024-12-03,C
PROP-00084,187855,2,1,71.1,58.7,96,0.2,0.3,Thornton,2022-10-31,B
PROP-00085,120712,2,2,40.7,49.8,36,0.6,0.8,Northgate,2022-07-23,G
PROP-00086,221626,3,2,51.0,91.0,10,0.7,0.7,Northgate,2022-07-14,D
PROP-00087,265206,3,2,72.9,95.2,2,2.8,0.3,Drayton,2024-02-03,G
PROP-00088,557218,6,2,136.8,86.9,113,0.9,2.2,Beechwood,2023-08-13,E
PROP-00089,175652,2,1,52.3,69.3,75,0.7,0.9,Drayton,2023-07-25,E
PROP-00090,348029,3,2,94.7,70.5,37,1.7,1.1,Ashworth,2023-01-05,C
PROP-00091,422935,4,1,96.1,102.3,33,0.9,0.3,Uppermill,2022-03-04,B
PROP-00092,259687,3,1,68.6,77.3,33,0.2,0.2,Ferndale,2022-04-12,E
PROP-00093,136752,2,1,42.8,85.7,9,1.2,0.5,Drayton,2023-08-04,E
PROP-00094,258728,3,1,63.4,82.5,14,0.5,0.3,Ironbridge,2023-08-16,D
PROP-00095,218732,2,1,53.8,75.5,10,1.3,1.1,Langford,2022-05-28,D
PROP-00096,138188,1,1,39.6,26.0,49,0.9,0.3,Ashworth,2023-10-28,C
PROP-00097,361982,4,2,113.6,0.0,74,0.5,0.9,Queensbury,2022-06-11,D
PROP-00098,564476,5,2,119.6,0.0,40,1.2,0.4,Zelton,2023-12-17,D
PROP-00099,415036,4,2,101.4,0.0,8,1.5,1.3,Uppermill,2022-06-04,C
PROP-00100,407805,6,2,114.2,137.2,45,3.3,1.0,Thornton,2023-10-24,E
PROP-00101,359133,3,2,93.8,65.5,3,1.0,0.2,Langford,2023-08-11,B
