timestamp,demand_mw,temperature_c,day_of_week,is_holiday
2024-01-01 00:00,25186.2,-0.9,Monday,True
2024-01-01 01:00,26938.5,-0.6,Monday,True
2024-01-01 02:00,24079.5,-0.1,Monday,True
2024-01-01 03:00,26364.6,1.2,Monday,True
2024-01-01 04:00,27379.4,1.1,Monday,True
2024-01-01 05:00,29390.9,2.6,Monday,True
2024-01-01 06:00,30011.3,4.0,Monday,True
2024-01-01 07:00,30523.6,2.6,Monday,True
2024-01-01 08:00,36212.2,4.7,Monday,True
2024-01-01 09:00,36286.1,4.9,Monday,True
2024-01-01 10:00,34529.3,5.9,Monday,True
2024-01-01 11:00,37709.1,4.7,Monday,True
2024-01-01 12:00,36876.6,6.4,Monday,True
2024-01-01 13:00,37873.9,5.4,Monday,True
2024-01-01 14:00,36095.7,5.5,Monday,True
2024-01-01 15:00,35757.8,4.6,Monday,True
2024-01-01 16:00,37383.2,-0.9,Monday,True
2024-01-01 17:00,40223.6,0.8,Monday,True
2024-01-01 18:00,37697.0,2.4,Monday,True
2024-01-01 19:00,36702.3,2.0,Monday,True
2024-01-01 20:00,36444.7,-0.0,Monday,True
2024-01-01 21:00,36793.5,-0.2,Monday,True
2024-01-01 22:00,34770.4,0.3,Monday,True
2024-01-01 23:00,33203.3,0.2,Monday,True
2024-01-02 00:00,27824.7,-1.6,Tuesday,False
2024-01-02 01:00,30149.8,-1.1,Tuesday,False
2024-01-02 02:00,33404.4,-0.2,Tuesday,False
2024-01-02 03:00,28752.5,-0.5,Tuesday,False
2024-01-02 04:00,33033.6,2.6,Tuesday,False
2024-01-02 05:00,32654.5,3.0,Tuesday,False
2024-01-02 06:00,33759.8,5.2,Tuesday,False
2024-01-02 07:00,35602.7,1.6,Tuesday,False
2024-01-02 08:00,36735.3,5.8,Tuesday,False
2024-01-02 09:00,41780.7,4.9,Tuesday,False
2024-01-02 10:00,42786.2,4.7,Tuesday,False
2024-01-02 11:00,45482.9,6.1,Tuesday,False
2024-01-02 12:00,41386.7,6.1,Tuesday,False
2024-01-02 13:00,41353.4,4.0,Tuesday,False
2024-01-02 14:00,42050.6,5.8,Tuesday,False
2024-01-02 15:00,44324.8,3.6,Tuesday,False
2024-01-02 16:00,43060.3,1.9,Tuesday,False
2024-01-02 17:00,42577.1,-0.5,Tuesday,False
2024-01-02 18:00,45524.4,0.6,Tuesday,False
2024-01-02 19:00,43373.1,2.5,Tuesday,False
2024-01-02 20:00,42152.8,0.5,Tuesday,False
2024-01-02 21:00,41740.8,1.3,Tuesday,False
2024-01-02 22:00,37384.4,-0.2,Tuesday,False
2024-01-02 23:00,37472.4,0.6,Tuesday,False
2024-01-03 00:00,28840.2,1.2,Wednesday,False
2024-01-03 01:00,28846.7,2.6,Wednesday,False
2024-01-03 02:00,30057.7,2.6,Wednesday,False
2024-01-03 03:00,28692.4,0.0,Wednesday,False
2024-01-03 04:00,33020.0,1.3,Wednesday,False
2024-01-03 05:00,32418.4,3.5,Wednesday,False
2024-01-03 06:00,34951.5,-0.5,Wednesday,False
2024-01-03 07:00,35560.1,4.6,Wednesday,False
2024-01-03 08:00,38881.6,3.5,Wednesday,False
2024-01-03 09:00,39802.4,7.5,Wednesday,False
2024-01-03 10:00,43727.7,4.5,Wednesday,False
2024-01-03 11:00,41438.7,4.6,Wednesday,False
2024-01-03 12:00,40423.1,5.3,Wednesday,False
2024-01-03 13:00,40770.6,5.2,Wednesday,False
2024-01-03 14:00,42889.8,5.7,Wednesday,False
2024-01-03 15:00,43606.3,7.2,Wednesday,False
2024-01-03 16:00,41530.1,5.1,Wednesday,False
2024-01-03 17:00,44669.7,2.1,Wednesday,False
2024-01-03 18:00,42363.7,4.1,Wednesday,False
2024-01-03 19:00,44272.1,2.3,Wednesday,False
2024-01-03 20:00,42953.6,2.5,Wednesday,False
2024-01-03 21:00,39602.6,-0.2,Wednesday,False
2024-01-03 22:00,39178.2,-2.5,Wednesday,False
2024-01-03 23:00,39915.4,-1.0,Wednesday,False
2024-01-04 00:00,29348.7,-1.5,Thursday,False
2024-01-04 01:00,28774.9,-2.6,Thursday,False
2024-01-04 02:00,31104.1,0.6,Thursday,False
2024-01-04 03:00,30301.9,3.0,Thursday,False
2024-01-04 04:00,31554.9,-0.1,Thursday,False
2024-01-04 05:00,32105.6,3.1,Thursday,False
2024-01-04 06:00,35568.2,2.1,Thursday,False
