accident_id,date,time,day_of_week,road_type,speed_limit,weather_conditions,light_conditions,road_surface,number_of_vehicles,number_of_casualties,severity,latitude,longitude,local_authority,urban_rural
ACC00001,2023-11-24,09:17,Friday,Dual carriageway,30,Fine no high winds,Daylight,Flood over 3cm deep,1,1,Slight,50.543432,-3.955043,Wolverhampton,Urban
ACC00002,2023-01-04,05:44,Wednesday,One way street,40,Fine no high winds,Daylight,Dry,4,1,Slight,52.203578,-3.007655,Edinburgh,Rural
ACC00003,2023-05-31,19:56,Wednesday,Roundabout,70,Fine no high winds,Daylight,Dry,2,3,Slight,54.960843,0.798628,Swansea,Urban
ACC00004,2023-12-16,19:40,Saturday,Single carriageway,60,Unknown,Daylight,Dry,2,1,Serious,51.273768,-3.267879,Tower Hamlets,Urban
ACC00005,2023-06-11,17:25,Sunday,Slip road,30,Fine no high winds,Daylight,Dry,3,2,Fatal,52.484916,-1.323503,Glasgow,Urban
ACC00006,23/03/2023,13:38,Thursday,Single carriageway,50,Raining no high winds,Darkness - no lighting,Flood over 3cm deep,2,2,Slight,53.945644,-4.840862,Exeter,Urban
ACC00007,2023-05-15,05:32,Monday,Single carriageway,70,Fine no high winds,Darkness - lighting unknown,Dry,2,3,serious,55.530299,1.218256,Westminster,Rural
ACC00008,2023-01-30,18:05,Monday,Single carriageway,60,Fine no high winds,Darkness - lighting unknown,Dry,1,1,Serious,50.957736,-1.742447,Wolverhampton,Rural
ACC00009,2023-12-10,14:57,Sunday,Motorway,60,Fine no high winds,Daylight,Dry,1,1,Serious,51.334665,-4.04837,Hackney,Urban
ACC00010,2023-04-20,23:59,Thursday,Slip road,,Raining with high winds,Darkness - lights unlit,Dry,1,2,Slight,52.456756,-2.197315,Tower Hamlets,Urban
ACC00011,2023-03-13,13:29,Monday,Dual carriageway,-30,Raining with high winds,Darkness - lighting unknown,Dry,1,6,Slight,55.620178,1.247752,Sheffield,Urban
ACC00012,2023-07-19,17:18,Wednesday,One way street,,Other,Darkness - no lighting,Dry,2,1,Slight,53.359246,-1.633536,Bradford,Urban
ACC00013,2023-04-06,07:43,Thursday,Dual carriageway,50,Fine no high winds,Daylight,Dry,2,1,Fatal,53.278316,-3.327226,Newcastle upon Tyne,Urban
ACC00014,2023-02-07,09:36,Tuesday,Single carriageway,-30,Snowing no high winds,Daylight,Flood over 3cm deep,2,4,Slight,55.099767,-2.928547,Birmingham,Rural
ACC00015,2023-10-11,18:06,Wednesday,Single carriageway,40,Fine no high winds,Daylight,Flood over 3cm deep,2,1,Slight,54.162151,-4.17302,Sunderland,Urban
ACC00016,2023-01-23,07:40,Monday,Dual carriageway,30,Unknown,,Flood over 3cm deep,3,2,Slight,50.436414,0.923298,Lewisham,Rural
ACC00017,2023-01-21,06:43,Saturday,Dual carriageway,70,Fine no high winds,Darkness - lights lit,Flood over 3cm deep,3,1,Fatal,54.34697,1.243229,Sheffield,Urban
ACC00018,2023-07-30,23:51,Sunday,Dual carriageway,40,Fine no high winds,Daylight,Snow,3,3,Slight,51.157522,1.188389,Edinburgh,Urban
ACC00019,2023-02-05,08:22,Sunday,Motorway,50,Other,Darkness - lighting unknown,Wet or damp,4,1,Slight,51.035693,1.519007,Newcastle upon Tyne,Urban
ACC00020,2023-07-17,06:16,Monday,Single carriageway,50,Fine no high winds,Darkness - lighting unknown,Flood over 3cm deep,2,5,Slight,52.112485,-5.175196,Cardiff,Rural
ACC00021,2023-07-26,17:08,Wednesday,Dual carriageway,50,Other,Darkness - lights unlit,Dry,2,1,Serious,54.835606,-3.420938,Liverpool,Rural
ACC00022,2023-03-28,09:32,Tuesday,Roundabout,30,Fine no high winds,Darkness - lights lit,Dry,3,1,Slight,51.420087,-2.136477,Hackney,Rural
ACC00023,2023-12-02,03:49,Saturday,One way street,30,Fine no high winds,Darkness - lighting unknown,Frost or ice,1,1,Slight,52.647479,0.310625,Reading,Rural
ACC00024,2023-10-08,12:47,Sunday,Slip road,60,Fine no high winds,Daylight,Wet or damp,3,2,Slight,51.592665,-5.118875,Leicester,Urban
ACC00025,2023-12-28,17:26,Thursday,Roundabout,60,Raining with high winds,Darkness - lights unlit,Dry,2,1,Fatal,55.48716,-5.55351,Ipswich,Rural
ACC00026,2023-10-03,17:51,Tuesday,Dual carriageway,60,Fine no high winds,Darkness - lights lit,Snow,2,1,Slight,54.200252,0.603792,Greenwich,Rural
ACC00027,2023-08-25,17:24,Friday,Roundabout,,Raining with high winds,Darkness - lights lit,Wet or damp,3,1,Slight,51.463175,-5.085703,Camden,Rural
ACC00028,2023-01-16,06:53,Monday,Single carriageway,70,Fine no high winds,Daylight,Dry,2,1,Slight,52.697197,-3.778172,Glasgow,Urban
ACC00029,2023-10-24,08:36,Tuesday,One way street,50,Unknown,Daylight,Dry,2,3,Slight,50.591028,0.093607,Wolverhampton,Urban
ACC00030,2023-11-28,13:52,Tuesday,Slip road,30,Raining no high winds,Darkness - lights lit,Frost or ice,3,1,Serious,55.599748,-3.674382,Exeter,Rural
ACC00031,2023-05-23,07:48,Tuesday,Slip road,70,Fog or mist,Darkness - lights unlit,Wet or damp,1,3,Slight,52.82779,-3.038813,Newcastle upon Tyne,Urban
ACC00032,2023-05-04,15:35,Thursday,Dual carriageway,60,Other,Darkness - no lighting,Frost or ice,3,1,Slight,52.345527,-3.875211,Cheltenham,Urban
ACC00033,2023-05-19,12:07,Friday,Dual carriageway,40,Fine no high winds,Darkness - lighting unknown,Dry,2,2,Slight,54.202593,1.624553,Reading,Rural
ACC00034,2023-10-01,07:03,Sunday,Motorway,40,Unknown,Daylight,Frost or ice,1,1,Slight,52.722502,-2.396484,Manchester,Urban
ACC00035,2023-12-18,07:51,Monday,Dual carriageway,30,Fine no high winds,Daylight,Flood over 3cm deep,3,2,Fatal,51.308985,-1.780706,Bath,Rural
ACC00036,2023-02-20,06:40,Monday,Dual carriageway,40,Other,Daylight,Dry,2,2,Slight,50.015519,-2.321222,Wolverhampton,Rural
ACC00037,2023-05-16,20:37,Tuesday,Dual carriageway,50,Fine no high winds,Darkness - lighting unknown,Dry,2,4,Slight,50.414177,-4.455579,Coventry,Rural
ACC00038,2023-05-20,15:28,Saturday,Single carriageway,70,Fine no high winds,Darkness - lights unlit,Wet or damp,2,1,Slight,55.579084,0.56969,Ipswich,Rural
ACC00039,2023-08-29,14:58,Tuesday,Dual carriageway,30,Fog or mist,Darkness - lights unlit,Frost or ice,4,1,Slight,51.933189,-0.673999,Birmingham,Urban
ACC00040,2023-02-15,13:07,Wednesday,One way street,60,Fine no high winds,Darkness - lighting unknown,Frost or ice,2,1,Slight,53.611276,-1.961302,Bath,Urban
ACC00041,2023-11-19,07:45,Sunday,Single carriageway,40,Snowing no high winds,Daylight,Flood over 3cm deep,2,1,Slight,52.676398,-4.819004,Lewisham,Rural
ACC00042,2023-08-22,12:12,Tuesday,Motorway,30,Fine no high winds,Darkness - lights lit,Snow,2,3,Slight,54.759187,-3.578708,Coventry,Rural
ACC00043,2023-10-06,13:55,Friday,Dual carriageway,30,Fog or mist,Darkness - lights unlit,Dry,3,1,Slight,54.31929,-0.410791,Swansea,Rural
ACC00044,2023-10-30,12:55,Monday,Slip road,30,Snowing no high winds,Darkness - no lighting,Dry,3,1,Slight,50.434004,0.16144,Newcastle upon Tyne,Urban
ACC00045,2023-06-12,15:55,Monday,Motorway,20,Fog or mist,Daylight,Dry,2,4,Slight,54.331245,-2.445214,Lambeth,Urban
ACC00046,2023-07-11,12:33,Tuesday,One way street,70,Other,Daylight,Dry,2,2,Slight,53.59432,-3.893777,Cheltenham,Urban
ACC00047,2023-05-28,05:04,Sunday,Slip road,40,Fog or mist,Darkness - lights lit,Snow,2,1,Slight,51.155459,-2.814801,Southampton,Urban
ACC00048,2023-12-04,12:36,Monday,Single carriageway,70,Unknown,Darkness - no lighting,Wet or damp,3,1,Slight,51.270226,-4.27401,Newcastle upon Tyne,Urban
ACC00049,2023-03-09,08:20,Thursday,One way street,30,Fine no high winds,Daylight,Flood over 3cm deep,3,1,Serious,55.298224,0.528545,Newcastle upon Tyne,Rural
ACC00050,2023-04-26,23:43,Wednesday,One way street,60,Raining no high winds,Daylight,Snow,1,2,Serious,52.137797,-0.082413,Newcastle upon Tyne,Rural
ACC00051,2023-10-15,14:14,Sunday,Single carriageway,70,Raining with high winds,Darkness - lights lit,Snow,1,1,Slight,51.765315,-2.005315,Lambeth,Urban
ACC00052,2023-08-03,23:09,Thursday,One way street,70,Fine no high winds,Darkness - no lighting,,4,1,Slight,51.260164,-2.364781,Sheffield,Urban
ACC00053,2023-04-08,14:05,Saturday,Dual carriageway,70,Other,Daylight,Dry,3,1,Slight,54.564473,-4.160958,Norwich,Urban
ACC00054,2023-05-22,04:08,Monday,Motorway,40,Fine no high winds,Daylight,Dry,1,1,Slight,53.415347,-5.581642,Newcastle upon Tyne,Urban
ACC00055,2023-10-31,09:14,Tuesday,Single carriageway,70,Snowing no high winds,Darkness - lights lit,Frost or ice,2,1,Serious,54.914332,-2.502948,Lambeth,Rural
ACC00056,2023-11-16,17:45,Thursday,Roundabout,50,Fog or mist,Darkness - lighting unknown,Wet or damp,2,2,Slight,54.599957,-4.841894,Norwich,Urban
ACC00057,2023-06-10,14:16,Saturday,Roundabout,,Other,Darkness - no lighting,Dry,1,1,Slight,50.560074,-0.15903,Greenwich,Rural
ACC00058,2023-08-05,23:03,Saturday,Dual carriageway,70,Fine no high winds,Darkness - lights lit,Dry,2,1,Serious,51.30062,-4.888362,Norwich,Urban
ACC00059,2023-11-15,20:35,Wednesday,Single carriageway,70,Other,Darkness - lights lit,Dry,2,2,Slight,55.344918,-3.067324,Manchester,Urban
ACC00060,2023-04-21,13:21,Friday,Single carriageway,40,Fine no high winds,Darkness - lights lit,Dry,3,1,Fatal,50.288622,-5.088139,Bath,Rural
ACC00061,2023-05-26,18:31,Friday,Motorway,70,Fine no high winds,Daylight,Dry,2,2,Slight,51.185654,1.389931,Greenwich,Urban
ACC00062,2023-04-28,21:51,Friday,Roundabout,30,Raining no high winds,Daylight,Snow,1,4,Slight,53.339403,-1.399502,Sunderland,Rural
ACC00063,2023-12-20,02:27,Wednesday,Single carriageway,30,Raining no high winds,Darkness - lights unlit,Flood over 3cm deep,1,4,Slight,51.285118,0.143384,Hackney,Rural
ACC00064,2023-11-27,07:06,Monday,Single carriageway,40,Fine no high winds,Daylight,Dry,3,2,Slight,55.517494,-0.990384,Plymouth,Rural
ACC00065,2023-11-18,13:04,Saturday,Slip road,60,Other,Darkness - lights lit,Wet or damp,2,1,Slight,51.800366,-2.310646,Tower Hamlets,Urban
ACC00066,2023-08-25,23:57,Friday,Single carriageway,60,Fog or mist,Daylight,Wet or damp,2,2,Slight,52.613034,0.382251,Cardiff,Urban
ACC00067,2023-03-23,13:24,Thursday,One way street,40,Other,Daylight,Wet or damp,1,1,Slight,51.648052,-0.271998,Wolverhampton,Urban
ACC00068,2023-07-20,09:05,Thursday,Dual carriageway,60,,Darkness - lights lit,Dry,2,3,Serious,50.542027,-0.67158,Brighton and Hove,Urban
ACC00069,2023-03-12,17:54,Sunday,Single carriageway,60,Snowing no high winds,Darkness - lighting unknown,Dry,2,4,Fatal,50.760084,-2.874601,Birmingham,Urban
ACC00070,2023-12-13,14:39,Wednesday,Dual carriageway,60,Fine no high winds,Darkness - lighting unknown,Dry,2,3,Serious,55.243051,-4.244879,Ipswich,Rural
ACC00071,2023-11-06,08:03,Monday,Slip road,40,Snowing no high winds,Daylight,,3,1,Slight,51.58219,1.089797,Lewisham,Rural
ACC00072,22/07/2023,07:24,Saturday,Single carriageway,40,Fine no high winds,Daylight,Wet or damp,4,3,Slight,54.590008,-4.668003,Leicester,Rural
ACC00073,2023-05-12,16:35,Friday,Motorway,50,Fine no high winds,Darkness - lights lit,Dry,2,1,Slight,53.70592,-1.028921,Hackney,Urban
ACC00074,2023-05-30,14:22,Tuesday,Dual carriageway,70,,Daylight,Dry,2,1,Serious,53.155675,0.198093,Brighton and Hove,Rural
ACC00075,2023-07-02,11:15,Sunday,Single carriageway,70,Unknown,Darkness - lights lit,Dry,1,2,Slight,54.816225,-0.564881,Southampton,Urban
ACC00076,2023-04-13,10:59,Thursday,Dual carriageway,60,Raining no high winds,Darkness - lighting unknown,Frost or ice,2,3,Slight,51.659443,0.766039,Tower Hamlets,Urban
ACC00077,2023-06-23,15:44,Friday,Slip road,40,Snowing no high winds,Darkness - lights lit,Dry,3,1,Fatal,55.771569,-4.346576,Leicester,Urban
ACC00078,2023-08-16,12:46,Wednesday,Roundabout,70,Raining no high winds,Darkness - lights lit,Dry,1,2,Slight,52.975899,-0.075765,Birmingham,Urban
ACC00079,2023-07-07,14:02,Friday,Single carriageway,70,Raining with high winds,Darkness - lights lit,Wet or damp,2,1,Slight,53.070867,-2.714745,Nottingham,Urban
ACC00080,2023-05-14,06:39,Sunday,Dual carriageway,60,Fine no high winds,Daylight,Dry,3,1,Serious,55.784122,0.378849,Bradford,Urban
ACC00081,2023-12-25,11:32,Monday,Dual carriageway,30,Fine no high winds,Daylight,Dry,3,1,Serious,53.319209,-2.194456,Norwich,Urban
ACC00082,2023-07-29,02:08,Saturday,Roundabout,70,Fine no high winds,Darkness - no lighting,Frost or ice,2,1,Serious,53.710805,-4.335276,Greenwich,Rural
ACC00083,2023-12-30,18:57,Saturday,Dual carriageway,30,Fine no high winds,Daylight,Flood over 3cm deep,2,2,Fatal,53.094173,-1.930701,Birmingham,Rural
ACC00084,2023-10-16,07:05,Monday,Single carriageway,70,Fog or mist,Darkness - lights lit,Dry,3,1,Slight,52.888621,-0.99627,Leicester,Urban
ACC00085,2023-08-14,13:13,Monday,Roundabout,70,Fine no high winds,Darkness - lights lit,Wet or damp,3,3,Slight,50.758444,-2.920949,Norwich,Urban
ACC00086,2023-07-16,13:15,Sunday,Single carriageway,40,Fog or mist,Darkness - lights lit,,3,1,Serious,52.707528,0.893067,Portsmouth,Urban
ACC00087,2023-05-25,20:43,Thursday,Slip road,40,Snowing no high winds,Daylight,Dry,2,4,Slight,54.430369,-2.95547,Oxford,Urban
ACC00088,2023-05-24,19:43,Wednesday,Single carriageway,30,Fine no high winds,Darkness - lights unlit,Wet or damp,3,1,Slight,54.378798,-4.207066,Brighton and Hove,Rural
ACC00089,2023-11-07,04:20,Tuesday,Roundabout,30,Raining no high winds,Darkness - lights lit,Wet or damp,2,2,Serious,54.110691,-3.451571,Camden,Urban
ACC00090,2023-11-19,08:16,Sunday,Dual carriageway,20,Fog or mist,Darkness - no lighting,Dry,2,2,Slight,50.857099,-0.594548,Islington,Rural
ACC00091,2023-07-30,19:58,Sunday,Slip road,20,Unknown,Daylight,Flood over 3cm deep,2,1,Serious,53.047767,-3.346856,Manchester,Rural
