station_id,station_name,country,latitude,longitude,elevation_m,avg_temp_c,avg_humidity_pct,avg_wind_speed_ms,measurement_date
WS001,Zürich Central,Switzerland,47.3769,8.5417,408,-1.2,62.4,3.7,2023-01-01
WS002,São Paulo Paulista,Brazil,-23.5505,-46.6333,760,29.3,63.1,0.3,2023-01-01
WS003,Malmö Harbour,Sweden,55.605,13.0038,12,-2.5,61.0,3.5,2023-01-01
WS004,London Heathrow,United Kingdom,51.47,-0.4543,25,-1.8,68.5,6.9,2023-01-01
WS005,Düsseldorf Rhine,Germany,51.2277,6.7735,38,-0.1,66.7,2.2,2023-01-01
WS006,Montréal Centre,Canada,45.5017,-73.5673,36,-3.2,68.7,7.3,2023-01-01
WS007,Göteborg Coast,Sweden,57.7089,11.9746,5,-4.1,63.4,5.3,2023-01-01
WS008,Jyväskylä Lake,Finland,62.2415,25.7209,78,-10.1,60.3,5.2,2023-01-01
WS009,Córdoba Sierra,Spain,37.8882,-4.7794,106,5.0,61.4,4.9,2023-01-01
WS010,Brně South,Czech Republic,49.1951,16.6068,237,-0.7,76.7,1.2,2023-01-01
WS011,Würzburg Valley,Germany,49.7913,9.9534,177,0.1,42.3,0,2023-01-01
WS012,Strasbourg Est,France,48.5734,7.7521,142,-3.0,51.3,6.2,2023-01-01
WS013,Kraków Old Town,Poland,50.0647,19.945,219,0.3,46.7,6.1,2023-01-01
WS014,Reykjavik Port,Iceland,64.1466,-21.9426,14,-9.4,63.7,3.3,2023-01-01
WS015,Tromso Arctic,Norway,69.6492,18.9553,10,-7.9,77.3,5.6,2023-01-01
WS016,Oulu North,Finland,65.0121,25.4651,15,-5.6,74.7,5.2,2023-01-01
WS017,Cluj-Napoca Centre,Romania,46.7712,23.6236,405,-2.5,54.2,2.8,2023-01-01
WS018,Pôrto Atlantic,Portugal,41.1579,-8.6291,85,2.8,61.2,9.8,2023-01-01
WS019,Thessaloniki Bay,Greece,40.6401,22.9444,5,-1.0,48.5,5.9,2023-01-01
WS020,Izmir Coastal,Turkey,38.4192,27.1287,2,6.5,72.6,6.1,2023-01-01
WS021,Gdansk Baltic,Poland,54.352,18.6466,7,1.2,63.6,0.4,2023-01-01
WS022,Bergen Fjørd,Norway,60.3913,5.3221,12,-6.7,79.3,0.4,2023-01-01
WS023,Ljubljana Basin,Slovenia,46.0569,14.5058,295,-0.3,68.8,3.2,2023-01-01
WS024,Bratislava Danube,Slovakia,48.1486,17.1077,134,1.1,73.7,9.8,2023-01-01
WS025,Réval Harbour,Estonia,59.437,24.7536,9,-3.0,55.9,2.6,2023-01-01
WS001,Zürich Central,Switzerland,47.3769,8.5417,408,-3.3,79.3,2.6,2023-01-19
WS002,São Paulo Paulista,Brazil,-23.5505,-46.6333,760,26.9,76.2,2.2,2023-01-19
WS003,Malmö Harbour,Sweden,55.605,13.0038,12,-4.4,37.4,1.3,2023-01-19
WS004,London Heathrow,United Kingdom,51.47,-0.4543,25,-3.9,71.2,7.0,2023-01-19
WS005,Düsseldorf Rhine,Germany,51.2277,6.7735,38,-2.1,68.9,4.4,2023-01-19
WS006,Montréal Centre,Canada,45.5017,-73.5673,36,3.1,78.4,4.7,2023-01-19
WS007,Göteborg Coast,Sweden,57.7089,11.9746,5,-7.3,78.6,5.0,2023-01-19
WS008,Jyväskylä Lake,Finland,62.2415,25.7209,78,-2.1,64.6,8.9,2023-01-19
WS009,Córdoba Sierra,Spain,37.8882,-4.7794,106,1.3,88.9,4.3,2023-01-19
WS010,Brně South,Czech Republic,49.1951,16.6068,237,-2.9,48.1,3.6,2023-01-19
WS011,Würzburg Valley,Germany,49.7913,9.9534,177,2.7,77.2,5.7,2023-01-19
WS012,Strasbourg Est,France,48.5734,7.7521,142,-8.3,75.7,5.4,2023-01-19
WS013,Kraków Old Town,Poland,50.0647,19.945,219,-3.3,55.6,4.0,2023-01-19
WS014,Reykjavik Port,Iceland,64.1466,-21.9426,14,-1.2,49.2,2.9,2023-01-19
WS015,Tromso Arctic,Norway,69.6492,18.9553,10,-4.1,58.3,3.1,2023-01-19
WS016,Oulu North,Finland,65.0121,25.4651,15,-6.4,46.4,4.5,2023-01-19
WS017,Cluj-Napoca Centre,Romania,46.7712,23.6236,405,-4.2,78.3,4.0,2023-01-19
WS018,Pôrto Atlantic,Portugal,41.1579,-8.6291,85,8.1,69.2,7.4,2023-01-19
WS019,Thessaloniki Bay,Greece,40.6401,22.9444,5,-2.5,63.2,4.8,2023-01-19
WS020,Izmir Coastal,Turkey,38.4192,27.1287,2,7.4,39.8,6.5,2023-01-19
WS021,Gdansk Baltic,Poland,54.352,18.6466,7,-1.3,88.0,5.8,2023-01-19
WS022,Bergen Fjørd,Norway,60.3913,5.3221,12,-5.0,57.2,0.9,2023-01-19
WS023,Ljubljana Basin,Slovenia,46.0569,14.5058,295,0.2,62.1,9.1,2023-01-19
WS024,Bratislava Danube,Slovakia,48.1486,17.1077,134,-2.9,69.8,0.1,2023-01-19
WS025,Réval Harbour,Estonia,59.437,24.7536,9,-6.0,68.9,6.1,2023-01-19
WS001,Zürich Central,Switzerland,47.3769,8.5417,408,4.9,64.3,1.2,2023-02-06
WS002,São Paulo Paulista,Brazil,-23.5505,-46.6333,760,27.2,72.8,5.2,2023-02-06
WS003,Malmö Harbour,Sweden,55.605,13.0038,12,-4.3,82.0,4.2,2023-02-06
WS004,London Heathrow,United Kingdom,51.47,-0.4543,25,1.3,84.1,5.5,2023-02-06
WS005,Düsseldorf Rhine,Germany,51.2277,6.7735,38,0.1,97.3,4.6,2023-02-06
WS006,Montréal Centre,Canada,45.5017,-73.5673,36,0.3,66.7,7.7,2023-02-06
WS007,Göteborg Coast,Sweden,57.7089,11.9746,5,-2.5,72.8,7.0,2023-02-06
WS008,Jyväskylä Lake,Finland,62.2415,25.7209,78,-5.9,39.1,4.7,2023-02-06
WS009,Córdoba Sierra,Spain,37.8882,-4.7794,106,4.4,55.9,6.2,2023-02-06
WS010,Brně South,Czech Republic,49.1951,16.6068,237,1.8,50.1,5.3,2023-02-06
WS011,Würzburg Valley,Germany,49.7913,9.9534,177,-0.8,42.8,5.1,2023-02-06
WS012,Strasbourg Est,France,48.5734,7.7521,142,0.0,53.8,5.3,2023-02-06
WS013,Kraków Old Town,Poland,50.0647,19.945,219,1.1,56.3,5.0,2023-02-06
WS014,Reykjavik Port,Iceland,64.1466,-21.9426,14,-2.0,54.3,5.0,2023-02-06
WS015,Tromso Arctic,Norway,69.6492,18.9553,10,-6.9,99.0,0,2023-02-06
WS016,Oulu North,Finland,65.0121,25.4651,15,-3.2,60.4,3.7,2023-02-06
WS017,Cluj-Napoca Centre,Romania,46.7712,23.6236,405,6.5,64.9,9.6,2023-02-06
WS018,Pôrto Atlantic,Portugal,41.1579,-8.6291,85,1.3,70.3,2.8,2023-02-06
WS019,Thessaloniki Bay,Greece,40.6401,22.9444,5,0.7,65.9,3.3,2023-02-06
WS020,Izmir Coastal,Turkey,38.4192,27.1287,2,4.1,33.4,9.0,2023-02-06
WS021,Gdansk Baltic,Poland,54.352,18.6466,7,-2.3,91.1,1.5,2023-02-06
WS022,Bergen Fjørd,Norway,60.3913,5.3221,12,-2.9,100,1.8,2023-02-06
WS023,Ljubljana Basin,Slovenia,46.0569,14.5058,295,-3.5,56.8,5.2,2023-02-06
