transaction_id,timestamp,amount,currency,merchant_name,merchant_category,card_type,status,customer_id
TXN4980B494DF4C,2024-12-09T15:04:56Z,18.36,GBP,Adobe,subscriptions,debit,completed,CUST00078
TXND682D6F84735,2024-11-12T11:31:27Z,17.55,USD,ASOS,retail,credit,completed,CUST00528
TXNAC4E1FB326FD,2024-10-02T18:23:52Z,25.53,GBP,Waitrose,groceries,debit,completed,CUST00270
TXNE9FAC87A68F3,2024-10-21T10:39:10Z,69.97,GBP,Google,subscriptions,debit,completed,CUST00053
TXN26FEAF5B2D6A,2024-10-24T12:53:44Z,59.98,GBP,Microsoft 365,subscriptions,debit,pending,CUST00301
TXNDA13686A8AD1,2024-10-31T00:07:21Z,16.37,USD,Google,subscriptions,debit,completed,CUST00292
TXNC596E4B95097,2024-12-01T21:15:44Z,1.0,GBP,Apple,subscriptions,debit,pending,CUST00049
TXN3A982CF095FD,2024-10-10T12:33:57Z,1.0,EUR,National Rail,transport,debit,completed,CUST00442
TXNFD5687965DA5,2024-11-13T13:06:43Z,31.34,USD,ASOS,retail,credit,declined,CUST00713
TXN8AC30F8D1F81,2024-12-17T16:50:29Z,72.06,GBP,Expedia,travel,debit,declined,CUST00066
TXN32F535D065C5,2024-11-10T08:22:59Z,49.6,USD,Google,subscriptions,debit,completed,CUST00177
TXN634769A7DBCA,2024-12-26T23:17:35Z,59.58,GBP,Airbnb,travel,credit,refunded,CUST00230
TXN4B64D34818B1,2024-12-17T17:00:16Z,34.4,EUR,LloydsPharmacy,,debit,completed,CUST00488
TXNC01426124A12,2024-11-18T17:01:04Z,1.0,GBP,Texaco,fuel,credit,completed,CUST00149
TXN522D5BC2CE5F,2024-11-11T12:07:54Z,59.05,GBP,Esso,fuel,debit,pending,CUST00342
TXN97938C9A59C8,2024-12-13T23:37:07Z,105.68,GBP,Nando's,dining,debit,pending,CUST00381
TXNDA53284DBA7E,2024-11-01T11:10:34Z,39.53,EUR,Uber,transport,credit,pending,CUST00201
TXNB7253FABEF58,2024-10-21T08:14:28Z,104.11,GBP,Currys,retail,credit,declined,CUST00105
TXN4F0EF82DFC52,2024-10-29T04:00:32Z,33.01,GBP,Netflix,entertainment,debit,completed,
TXN404F20CE03B3,2024-11-19T21:42:35Z,64.53,GBP,EasyJet,travel,debit,completed,
TXNF0C7F128597D,2024-10-25T15:50:32Z,14.52,GBP,Texaco,fuel,debit,completed,CUST00647
TXN3F2C5343FA2D,2024-10-12T00:49:01Z,21.18,USD,Booking.com,travel,debit,completed,CUST00220
TXN3737C099C4BD,2024-12-27T03:54:26Z,65.46,GBP,Uber,transport,credit,completed,CUST00520
TXN7182EB11B72D,2024-10-16T22:12:24Z,83.8,GBP,Tesco,,,completed,CUST00281
TXN9DFE07FF2AE1,2024-10-29T07:50:21Z,18.73,GBP,Waitrose,groceries,credit,completed,CUST00151
TXN466A6B8A0D41,2024-10-11T15:59:52Z,46.48,GBP,Ryanair,travel,debit,completed,CUST00588
TXN7AB7A48DFCF6,2024-11-23T23:07:50Z,40.91,GBP,British Gas,utilities,debit,pending,CUST00175
TXNEF15DFE725C8,2024-11-01T11:17:10Z,1.0,GBP,Sky,entertainment,credit,completed,CUST00134
TXNDAD3DD71F131,2024-11-11T22:55:12Z,16.34,GBP,EDF Energy,utilities,debit,completed,
TXN156E8DE9760F,2024-10-10T06:47:00Z,21.04,GBP,Uber,transport,debit,pending,CUST00191
TXN93F72241A34A,2024-12-02T18:15:30Z,25.89,GBP,British Gas,utilities,credit,completed,CUST00165
TXN075A06379A8A,2024-10-01T18:34:59Z,14.88,GBP,Airbnb,travel,debit,completed,CUST00279
TXN87C129F77F54,2024-12-04T18:58:19Z,8.49,GBP,Dropbox,subscriptions,credit,completed,CUST00131
TXN02C25FDE95D4,2024-11-11T07:26:17Z,1.0,USD,Dropbox,subscriptions,credit,completed,CUST00733
TXNB7BCB9EB15E9,2024-11-12T12:06:45Z,64.68,GBP,Thames Water,utilities,credit,declined,CUST00585
TXN852E0BD43B1D,2024-11-30T05:18:36Z,106.73,EUR,Argos,retail,credit,completed,CUST00375
