sol,earth_date,min_temp_c,max_temp_c,pressure_pa,wind_speed_ms,uv_index,instrument_status
1,2024-01-01,-71.4,-8.2,819.0,9.3,5,nominal
2,2024-01-02,-70.1,-14.6,718.6,1.6,3,warning
3,2024-01-03,-75.0,-11.3,739.1,25.3,7,nominal
4,2024-01-04,-60.2,-7.2,676.0,24.2,2,nominal
5,2024-01-05,-77.6,-18.5,880.0,28.8,10,nominal
6,2024-01-06,-78.9,-6.5,,19.1,10,nominal
7,2024-01-07,-78.5,-1.0,787.5,9.2,8,warning
8,2024-01-08,-74.4,-14.1,785.1,25.2,4,nominal
9,2024-01-09,,1.9,651.7,30.6,10,offline
10,2024-01-10,-57.5,-16.6,881.5,20.3,5,nominal
11,2024-01-11,-51.5,-1.2,798.3,,1,warning
12,2024-01-12,-68.9,5.7,804.7,23.7,11,nominal
13,2024-01-13,-57.9,-4.7,744.2,23.4,11,warning
14,2024-01-14,-75.8,-3.0,813.5,19.1,5,nominal
15,2024-01-15,-66.7,-13.3,805.5,12.8,9,nominal
16,2024-01-16,-58.8,0.7,725.1,4.6,0,nominal
17,2024-01-17,-61.0,-4.9,661.5,,8,nominal
18,2024-01-18,-54.2,0.6,798.7,31.4,3,nominal
19,2024-01-19,-73.0,-13.2,714.0,10.7,1,nominal
20,2024-01-20,-74.1,-9.7,916.2,11.8,9,nominal
21,2024-01-21,-47.9,-13.7,728.1,30.3,3,nominal
22,2024-01-22,-62.3,-2.6,705.0,13.2,6,nominal
23,2024-01-23,-60.4,7.0,771.1,23.3,7,nominal
24,2024-01-24,-72.6,-9.2,708.8,6.7,6,nominal
25,2024-01-25,-49.0,0.7,796.4,25.9,5,warning
26,2024-01-26,-56.7,-7.6,827.7,3.6,10,warning
27,2024-01-27,-73.4,-10.8,858.0,19.1,11,nominal
28,2024-01-28,-71.7,8.7,779.1,11.3,1,nominal
29,2024-01-29,-60.4,,663.9,,7,nominal
30,2024-01-30,-72.7,4.1,913.9,24.8,8,nominal
31,2024-01-31,-56.9,-11.1,832.5,,11,nominal
32,2024-02-01,-67.3,1.9,874.4,20.1,8,nominal
33,2024-02-02,-46.6,-7.7,752.5,14.6,1,nominal
34,2024-02-03,-47.8,-0.7,837.9,12.3,3,nominal
35,2024-02-04,-58.0,-4.7,782.6,19.1,10,nominal
36,2024-02-05,-73.5,-6.2,639.7,7.2,6,nominal
37,2024-02-06,-60.4,-13.0,646.4,26.0,4,nominal
38,2024-02-07,-51.9,-1.1,671.4,6.6,8,nominal
39,2024-02-08,-62.0,3.6,833.9,10.7,0,nominal
40,2024-02-09,-50.3,-9.4,859.4,24.0,11,nominal
41,2024-02-10,-72.7,-5.7,722.7,19.6,5,warning
42,2024-02-11,-49.9,-11.0,863.7,15.8,0,nominal
43,2024-02-12,-49.4,4.8,841.8,18.2,9,nominal
44,2024-02-13,-71.3,-1.2,,31.7,5,nominal
45,2024-02-14,-52.1,-2.5,838.8,14.4,1,nominal
46,2024-02-15,-65.4,,679.0,29.3,,warning
47,2024-02-16,-45.9,-9.8,777.0,33.5,6,nominal
48,2024-02-17,-47.3,-11.3,748.5,6.3,10,nominal
49,2024-02-18,-53.8,4.1,,18.2,2,nominal
50,2024-02-19,-43.7,-2.8,680.5,6.1,6,nominal
51,2024-02-20,-50.1,,681.1,33.8,2,nominal
52,2024-02-21,-54.3,-9.3,764.9,24.7,3,nominal
53,2024-02-22,-60.1,6.8,716.0,23.5,,nominal
54,2024-02-23,-47.5,9.0,703.5,22.4,3,offline
55,2024-02-24,-61.2,-6.7,833.6,6.4,0,nominal
56,2024-02-25,-52.2,6.4,,27.4,0,nominal
57,2024-02-26,-57.3,3.2,793.0,16.8,11,nominal
58,2024-02-27,-57.1,-7.3,885.3,20.5,6,nominal
59,2024-02-28,-50.4,8.9,660.5,7.0,6,nominal
60,2024-02-29,-68.6,5.5,853.8,9.4,5,nominal
61,2024-03-01,-45.9,6.3,679.0,31.5,5,nominal
62,2024-03-02,-58.3,-2.9,793.7,21.5,5,nominal
63,2024-03-03,-56.6,-10.7,902.9,11.9,7,nominal
64,2024-03-04,-44.3,6.8,770.0,14.3,6,warning
65,2024-03-05,-70.0,-6.0,799.2,6.0,6,nominal
66,2024-03-06,-57.8,-2.3,732.1,28.2,11,nominal
67,2024-03-07,-49.4,2.3,883.6,9.2,6,nominal
68,2024-03-08,-71.2,5.2,899.7,26.6,1,nominal
69,2024-03-09,-49.8,-8.8,921.6,31.7,8,nominal
70,2024-03-10,-67.0,9.5,667.9,21.8,6,nominal
71,2024-03-11,-49.9,7.5,741.0,13.0,1,nominal
72,2024-03-12,-61.4,-7.8,753.3,27.9,7,nominal
73,2024-03-13,-49.6,4.4,710.5,,2,nominal
74,2024-03-14,-46.0,-6.3,931.8,30.5,8,offline
75,2024-03-15,-68.6,9.0,713.0,10.8,6,nominal
76,2024-03-16,-68.1,14.5,705.8,,2,nominal
77,2024-03-17,-65.2,4.1,893.2,16.8,0,nominal
78,2024-03-18,-43.7,-9.3,832.6,12.3,4,nominal
79,2024-03-19,-64.1,12.0,804.7,23.9,8,nominal
80,2024-03-20,-42.6,2.6,763.7,10.4,5,nominal
81,2024-03-21,-54.0,9.3,947.2,34.2,1,nominal
82,2024-03-22,-39.9,-4.3,901.4,28.9,5,nominal
83,2024-03-23,-68.8,7.8,931.9,21.9,9,nominal
84,2024-03-24,-68.4,-8.2,828.2,5.6,7,nominal
85,2024-03-25,-45.4,12.2,665.7,9.4,11,nominal
86,2024-03-26,-41.1,0.5,678.3,14.1,2,nominal
87,2024-03-27,-48.1,4.8,915.0,23.4,5,nominal
88,2024-03-28,-63.9,-9.1,858.8,22.2,9,nominal
89,2024-03-29,-66.0,3.3,747.7,7.3,5,nominal
90,2024-03-30,-42.4,2.2,,12.5,1,nominal
91,2024-03-31,-39.8,13.2,796.5,16.3,8,nominal
92,2024-04-01,-63.9,-7.0,902.4,13.8,5,nominal
93,2024-04-02,-52.3,13.7,676.7,22.8,9,nominal
94,2024-04-03,-67.0,-0.4,941.2,17.2,8,warning
95,2024-04-04,-56.8,5.2,796.3,6.6,0,nominal
96,2024-04-05,-62.2,7.5,942.2,19.1,1,nominal
97,2024-04-06,-56.7,0.9,763.6,10.5,0,nominal
98,2024-04-07,-47.4,-5.9,849.7,29.1,6,offline
