image_id,true_label,model_a_prob,model_b_prob
img_0000,0,0.1938,0.2377
img_0001,1,0.1933,0.1400
img_0002,0,0.2124,0.0265
img_0003,0,0.1798,0.0447
img_0004,1,0.2008,0.9605
img_0005,0,0.0604,0.0866
img_0006,0,0.0823,0.0662
img_0007,0,0.0952,0.1593
img_0008,0,0.0517,0.6364
img_0009,0,0.0668,0.1506
img_0010,0,0.0674,0.0693
img_0011,0,0.0716,0.0501
img_0012,0,0.0737,0.0302
img_0013,0,0.1162,0.1317
img_0014,0,0.1729,0.0951
img_0015,0,0.1259,0.0739
img_0016,0,0.1400,0.1679
img_0017,0,0.1967,0.0919
img_0018,0,0.1004,0.1613
img_0019,0,0.0633,0.2058
img_0020,0,0.2139,0.0550
img_0021,0,0.1206,0.0502
img_0022,0,0.0738,0.2507
img_0023,0,0.1173,0.1347
img_0024,0,0.1320,0.2458
img_0025,1,0.8940,0.8693
img_0026,1,0.3056,0.8636
img_0027,0,0.1710,0.1364
img_0028,0,0.0294,0.0617
img_0029,0,0.1640,0.2356
img_0030,0,0.0367,0.0671
img_0031,1,0.8535,0.9743
img_0032,1,0.1960,0.8735
img_0033,0,0.0839,0.0806
img_0034,0,0.1169,0.0873
img_0035,0,0.0217,0.0677
img_0036,0,0.0611,0.0717
img_0037,0,0.2366,0.1290
img_0038,0,0.0753,0.1216
img_0039,1,0.4068,0.8395
img_0040,1,0.2155,0.9447
img_0041,1,0.0667,0.9482
img_0042,0,0.0598,0.0706
img_0043,0,0.0591,0.1155
img_0044,0,0.0531,0.0790
img_0045,0,0.0254,0.0495
img_0046,0,0.2399,0.0270
img_0047,0,0.1003,0.0552
img_0048,0,0.0353,0.0921
img_0049,0,0.3493,0.1653
img_0050,0,0.0990,0.0514
img_0051,0,0.1110,0.0933
img_0052,0,0.0485,0.0541
img_0053,0,0.1554,0.1478
img_0054,0,0.2153,0.0909
img_0055,0,0.0392,0.1410
img_0056,0,0.1487,0.2047
img_0057,0,0.1026,0.1142
img_0058,0,0.1558,0.1434
img_0059,0,0.0976,0.2065
img_0060,0,0.0868,0.0260
img_0061,0,0.1900,0.2915
img_0062,0,0.0989,0.1097
img_0063,0,0.0157,0.0832
img_0064,1,0.9674,0.9486
img_0065,0,0.3591,0.0616
img_0066,1,0.2922,0.9708
img_0067,0,0.1418,0.0765
img_0068,0,0.0814,0.7081
img_0069,0,0.2273,0.0706
img_0070,0,0.0537,0.2439
img_0071,0,0.1013,0.1846
img_0072,0,0.0851,0.7503
img_0073,1,0.9318,0.8954
img_0074,0,0.1719,0.0713
img_0075,1,0.8934,0.8546
img_0076,0,0.1674,0.0684
img_0077,0,0.0372,0.1291
