drug_a_molecular_weight,drug_a_solubility,drug_a_half_life,drug_a_category,drug_b_category,patient_age_group,interaction_severity
565.63,1.35,20.53,antibiotic,antibiotic,51-70,none
206.51,21.15,3.12,antibiotic,antibiotic,31-50,none
167.25,10.02,47.14,anti-inflammatory,cardiovascular,18-30,none
154.22,40.31,50.57,antidepressant,antidepressant,18-30,none
772.19,16.9,7.58,analgesic,antidepressant,51-70,none
624.33,26.86,70.09,cardiovascular,analgesic,31-50,none
689.11,30.96,62.18,anti-inflammatory,antibiotic,51-70,moderate
338.1,4.08,17.53,analgesic,cardiovascular,31-50,mild
563.19,18.31,27.28,antibiotic,antiviral,31-50,severe
545.94,8.64,52.77,antibiotic,cardiovascular,31-50,none
793.19,32.04,40.54,antiviral,antidepressant,51-70,mild
170.87,15.84,20.01,antibiotic,anti-inflammatory,70+,none
354.54,32.81,29.09,antiviral,cardiovascular,18-30,mild
500.34,37.38,31.42,anti-inflammatory,cardiovascular,31-50,mild
798.26,7.0,36.04,analgesic,analgesic,18-30,mild
537.67,19.3,43.31,cardiovascular,anti-inflammatory,31-50,mild
509.6,47.13,49.3,analgesic,antiviral,70+,none
371.11,14.75,12.23,analgesic,antiviral,70+,none
321.2,25.08,13.68,analgesic,antiviral,31-50,none
249.35,38.15,39.3,anti-inflammatory,analgesic,31-50,none
467.59,5.68,26.77,antidepressant,antibiotic,18-30,moderate
205.67,24.35,5.91,anti-inflammatory,antibiotic,18-30,none
458.93,27.54,19.82,anti-inflammatory,cardiovascular,70+,moderate
598.41,35.68,29.33,antiviral,antiviral,31-50,none
734.75,22.63,18.6,analgesic,antidepressant,18-30,none
154.67,35.42,5.18,analgesic,analgesic,70+,none
196.06,11.98,48.5,antibiotic,anti-inflammatory,18-30,moderate
457.24,39.25,58.33,antibiotic,analgesic,18-30,none
430.18,21.24,34.16,antiviral,analgesic,51-70,none
411.7,17.03,62.18,antibiotic,antibiotic,18-30,none
441.6,21.15,20.78,antibiotic,analgesic,31-50,mild
182.88,49.96,60.36,analgesic,antibiotic,18-30,none
465.67,10.77,29.47,analgesic,antibiotic,31-50,mild
659.65,22.8,31.03,antiviral,anti-inflammatory,51-70,none
466.34,9.58,16.46,analgesic,anti-inflammatory,51-70,mild
182.59,23.89,66.28,anti-inflammatory,antibiotic,18-30,mild
480.09,42.58,5.87,analgesic,antiviral,70+,none
520.29,28.99,3.82,analgesic,cardiovascular,51-70,severe
517.4,15.89,19.51,antiviral,antiviral,31-50,none
569.58,22.92,66.96,analgesic,analgesic,31-50,mild
799.0,49.81,6.2,antibiotic,anti-inflammatory,31-50,severe
721.53,18.54,12.2,anti-inflammatory,antiviral,31-50,none
789.5,40.37,38.55,antiviral,anti-inflammatory,31-50,none
237.29,5.86,8.6,anti-inflammatory,antibiotic,31-50,none
543.14,35.91,15.46,antiviral,antidepressant,31-50,none
183.02,31.75,59.88,analgesic,analgesic,31-50,moderate
235.03,48.99,12.47,cardiovascular,anti-inflammatory,51-70,none
764.28,34.58,11.58,analgesic,antidepressant,31-50,none
246.26,6.46,22.89,analgesic,antidepressant,18-30,none
657.08,44.22,29.85,anti-inflammatory,antiviral,18-30,mild
754.42,43.24,70.31,antibiotic,cardiovascular,18-30,none
755.03,40.13,62.35,antibiotic,antidepressant,18-30,none
605.83,19.19,3.75,cardiovascular,antibiotic,18-30,mild
683.35,43.58,16.83,antiviral,antibiotic,31-50,moderate
331.09,3.56,55.91,antidepressant,antiviral,31-50,none
365.25,1.48,63.27,antidepressant,antibiotic,31-50,none
