date,region,weather_type,temperature,wind_speed,is_holiday,demand_mw
2021-01-01,North,cloudy,3.1,28.6,0,45949.7
2021-01-01,South,rain,-0.2,37.2,1,48770.4
2021-01-01,Midlands,clear,4.1,39.3,0,45934.5
2021-01-02,North,cloudy,1.0,17.7,1,40087.8
2021-01-02,South,cloudy,4.8,18.4,0,46638.3
2021-01-02,Midlands,clear,2.9,42.7,0,45498.3
2021-01-03,North,cloudy,4.9,17.9,0,41456.1
2021-01-03,South,rain,5.7,18.3,0,44206.5
2021-01-03,Midlands,cloudy,3.3,27.6,0,45312.1
2021-01-04,North,clear,4.4,28.0,0,46888.0
2021-01-04,South,cloudy,2.4,34.0,0,48340.8
2021-01-04,Midlands,clear,0.8,29.4,0,47084.9
2021-01-05,North,cloudy,7.1,29.2,0,46033.2
2021-01-05,South,cloudy,-0.1,36.8,0,50251.6
2021-01-05,Midlands,rain,5.0,48.5,0,46849.8
2021-01-06,North,storm,1.5,23.9,0,48309.9
2021-01-06,South,cloudy,1.8,27.6,0,48806.9
2021-01-06,Midlands,storm,4.6,26.5,0,48602.4
2021-01-07,North,rain,6.3,37.1,0,46700.0
2021-01-07,South,storm,4.6,9.0,0,49562.6
2021-01-07,Midlands,rain,7.6,30.9,0,46553.5
2021-01-08,North,clear,7.2,21.9,0,44869.8
2021-01-08,South,cloudy,5.0,25.5,0,50564.4
2021-01-08,Midlands,cloudy,1.0,22.9,0,46942.6
2021-01-09,North,rain,3.9,20.0,0,44380.2
2021-01-09,South,clear,3.7,44.8,0,44326.8
2021-01-09,Midlands,rain,3.3,32.5,0,46171.7
2021-01-10,North,clear,5.2,30.8,0,39885.4
2021-01-10,South,cloudy,0.6,31.5,0,46072.1
2021-01-10,Midlands,cloudy,4.5,29.2,0,43331.0
2021-01-11,North,cloudy,7.3,29.5,0,45379.2
2021-01-11,South,cloudy,5.0,25.0,0,48019.0
2021-01-11,Midlands,cloudy,6.9,34.8,0,46681.8
2021-01-12,North,cloudy,3.0,27.2,0,45313.1
2021-01-12,South,cloudy,6.7,25.8,0,48197.6
2021-01-12,Midlands,clear,2.2,22.2,0,47803.5
2021-01-13,North,storm,3.3,18.0,0,46543.2
2021-01-13,South,rain,5.1,29.9,0,49677.7
2021-01-13,Midlands,cloudy,2.0,32.9,0,45590.2
2021-01-14,North,cloudy,5.6,58.7,0,46665.8
2021-01-14,South,rain,9.4,26.3,0,46750.6
2021-01-14,Midlands,cloudy,4.0,37.1,0,47635.2
2021-01-15,North,cloudy,3.5,43.7,0,49651.1
2021-01-15,South,cloudy,1.7,28.9,0,48697.9
2021-01-15,Midlands,cloudy,7.1,27.7,0,47748.4
2021-01-16,North,cloudy,5.1,32.6,0,41783.3
2021-01-16,South,cloudy,5.3,32.3,0,45328.7
2021-01-16,Midlands,rain,5.2,30.0,0,45928.2
2021-01-17,North,cloudy,1.1,34.9,0,44065.0
2021-01-17,South,cloudy,7.8,20.3,0,45606.6
2021-01-17,Midlands,clear,2.3,42.0,0,48159.5
2021-01-18,North,clear,4.0,31.2,0,46060.4
2021-01-18,South,cloudy,7.8,18.5,0,48429.0
2021-01-18,Midlands,rain,0.7,41.3,1,45990.4
2021-01-19,North,rain,5.0,23.5,0,46215.1
2021-01-19,South,clear,5.0,23.7,0,47487.4
2021-01-19,Midlands,rain,3.8,24.4,0,45082.4
2021-01-20,North,rain,4.6,36.7,0,46609.8
2021-01-20,South,rain,8.5,30.0,0,47665.5
2021-01-20,Midlands,cloudy,1.0,32.8,0,48014.3
2021-01-21,North,rain,6.8,23.9,0,45591.6
2021-01-21,South,cloudy,5.3,41.1,0,46909.8
2021-01-21,Midlands,cloudy,5.6,26.4,0,47046.8
2021-01-22,North,cloudy,-0.8,26.2,0,46498.1
2021-01-22,South,rain,8.8,13.2,0,49530.7
2021-01-22,Midlands,cloudy,4.9,42.7,0,45846.9
2021-01-23,North,rain,5.1,23.7,0,44327.0
2021-01-23,South,cloudy,0.8,33.2,0,45248.6
2021-01-23,Midlands,clear,4.9,24.1,0,42114.9
2021-01-24,North,storm,8.8,27.4,0,44217.7
2021-01-24,South,storm,7.5,28.4,0,46665.6
2021-01-24,Midlands,storm,4.1,29.2,0,46008.2
2021-01-25,North,cloudy,4.2,22.6,0,44203.5
2021-01-25,South,cloudy,6.7,29.4,0,47580.6
2021-01-25,Midlands,rain,0.6,26.4,0,48157.8
2021-01-26,North,rain,5.3,26.1,0,46440.8
2021-01-26,South,cloudy,4.2,22.8,0,47542.0
2021-01-26,Midlands,clear,5.8,12.8,0,47248.3
2021-01-27,North,cloudy,7.5,23.1,0,45325.8
2021-01-27,South,cloudy,4.7,19.2,0,47344.0
2021-01-27,Midlands,cloudy,3.0,31.4,0,47383.3
2021-01-28,North,clear,3.3,18.1,0,44904.9
2021-01-28,South,rain,6.5,17.3,0,48193.7
2021-01-28,Midlands,cloudy,5.3,14.0,0,46836.4
2021-01-29,North,clear,1.8,35.1,0,44583.4
2021-01-29,South,rain,4.9,42.7,0,48622.1
2021-01-29,Midlands,clear,6.9,34.6,0,45070.7
2021-01-30,North,cloudy,4.8,34.4,0,40958.4
2021-01-30,South,cloudy,1.2,8.6,0,47397.3
2021-01-30,Midlands,rain,2.7,14.2,0,44594.7
2021-01-31,North,cloudy,8.3,21.3,0,40990.1
2021-01-31,South,rain,8.6,18.1,0,44155.4
2021-01-31,Midlands,cloudy,6.8,32.3,0,42270.7
2021-02-01,North,cloudy,4.8,24.9,0,43223.1
2021-02-01,South,cloudy,2.5,34.7,0,46386.8
2021-02-01,Midlands,cloudy,7.7,23.9,0,43373.6
2021-02-02,North,cloudy,5.0,29.7,0,46676.3
2021-02-02,South,cloudy,0.3,29.0,0,47788.8
2021-02-02,Midlands,cloudy,5.5,34.7,1,42789.0
2021-02-03,North,cloudy,8.5,33.7,0,44940.6
2021-02-03,South,cloudy,4.9,27.8,0,49573.3
2021-02-03,Midlands,clear,5.9,26.6,0,45659.8
2021-02-04,North,rain,5.9,36.0,0,45050.2
2021-02-04,South,cloudy,0.7,30.4,0,49214.0
2021-02-04,Midlands,rain,7.7,29.1,0,44821.0
