transaction_amount,time_since_last_transaction,merchant_category_code,distance_from_home,transaction_frequency_24h,is_weekend,is_fraud
21.87,46.63,4,12.85,3,0,0
14.54,1.8,7,9.37,3,0,0
41.95,42.01,14,3.56,1,0,0
15.66,68.19,8,35.62,1,0,0
50.13,69.62,16,4.94,3,0,0
18.76,36.0,10,8.67,3,1,0
29.58,13.13,19,8.29,3,1,0
25.08,50.54,17,0.88,3,1,0
47.93,36.99,9,22.96,1,0,0
139.63,45.84,11,7.96,5,1,0
42.9,18.59,5,10.45,2,0,0
28.28,22.22,13,18.65,1,0,0
58.24,6.23,5,0.38,5,0,0
91.32,3.46,11,30.54,2,1,0
23.17,6.79,15,11.15,5,1,0
14.85,69.2,1,10.64,4,1,0
165.59,34.31,19,16.02,1,1,0
141.68,41.69,3,15.54,4,1,0
35.42,42.69,13,5.18,1,1,0
278.46,33.02,6,3.72,4,0,0
107.59,17.52,5,24.71,2,1,0
330.07,20.7,20,4.39,5,1,0
62.53,48.24,2,0.81,5,0,0
110.42,42.94,17,18.51,5,1,0
7.28,39.17,15,1.17,4,0,0
613.18,40.9,9,1.18,5,0,0
78.91,50.63,16,2.07,4,0,0
500,65.39,19,1.11,1,1,0
90.48,42.4,3,18.33,4,0,0
154.74,54.11,3,16.71,5,0,0
26.2,66.7,1,9.49,4,0,0
111.98,32.12,17,10.53,3,0,0
60.61,34.42,20,0.54,5,1,0
32.49,29.42,1,3.61,1,1,0
285.19,1.4,10,3.19,3,1,0
137.27,11.11,11,2.39,1,0,0
115.78,63.6,14,20.81,4,0,0
38.71,53.91,9,1.69,5,0,0
39.53,50.7,3,5.77,3,1,0
447.25,20.85,11,10.56,4,1,0
29.31,27.34,13,3.69,4,0,0
11.87,20.72,5,2.52,1,0,0
6.32,62.35,19,5.65,4,1,0
40.61,16.72,18,16.78,5,0,0
69.2,27.56,12,5.01,4,1,0
486.95,10.84,15,9.48,5,1,0
149.31,19.93,5,0.86,5,0,0
69.93,18.68,4,1.98,1,0,0
29.93,51.94,13,8.49,5,1,0
42.15,50.27,16,1.79,2,0,0
33.59,58.9,10,3.22,2,0,0
256.1,3.12,16,4.53,4,1,0
17.01,44.56,17,5.97,3,1,0
75.14,63.26,4,7.0,3,0,0
190.27,12.81,6,13.08,1,0,0
7.36,25.98,20,10.45,5,1,0
112.41,64.67,1,9.45,2,0,0
136.58,24.98,6,8.62,5,1,0
65.49,20.11,15,10.39,2,0,0
12.55,9.65,18,3.82,4,1,0
46.55,49.61,2,2.08,1,1,0
40.21,68.57,17,6.88,1,1,0
24.78,68.16,14,7.08,2,1,0
108.96,24.96,17,11.62,5,1,0
42.42,23.69,11,1.93,2,1,0
45.5,27.28,7,8.87,1,0,0
88.76,21.63,7,7.98,3,0,0
22.53,33.59,6,3.87,2,0,0
68.48,71.0,16,9.41,3,0,0
63.58,53.91,4,0.36,4,0,0
12.35,64.13,2,3.46,1,1,0
92.19,9.13,7,10.46,2,0,0
211.65,25.51,15,5.22,2,1,0
109.69,43.05,7,10.92,1,1,0
48.99,57.56,16,5.51,2,0,0
150.74,41.29,6,7.38,5,0,0
22.04,2.03,14,10.66,2,0,0
31.84,26.7,14,17.98,1,1,0
174.87,30.66,2,0.33,4,0,0
43.81,33.61,12,2.83,1,0,0
47.81,29.92,17,0.85,2,0,0
106.48,42.2,3,1.23,5,1,0
89.35,54.48,17,4.38,2,0,0
45.9,22.85,9,15.91,5,0,0
47.75,36.12,7,0.11,2,1,0
220.53,60.81,19,7.44,2,0,0
27.38,49.62,20,1.89,2,1,0
79.08,38.7,18,6.05,1,1,0
31.16,25.15,16,10.55,5,1,0
64.6,18.34,18,6.49,4,1,0
15.36,69.61,2,5.86,1,0,0
105.29,65.71,13,2.67,2,1,0
500,47.51,4,25.93,5,0,0
129.36,21.96,15,12.82,2,0,0
165.76,19.17,12,3.45,3,0,0
19.97,38.21,8,1.73,3,0,0
106.04,16.67,16,7.04,1,1,0
151.33,7.3,7,5.96,5,0,0
127.32,60.84,16,11.43,1,0,0
32.4,43.53,10,5.5,1,1,0
279.22,41.83,19,3.88,2,0,0
328.45,1.97,4,3.94,8,1,1
27.63,64.15,4,24.13,1,1,0
29.79,10.47,20,3.77,2,0,0
33.24,59.63,17,9.02,3,1,0
115.8,66.49,20,7.14,2,1,0
28.11,4.72,1,0.4,4,0,0
42.87,43.32,14,19.88,5,0,0
11.13,16.37,16,3.06,2,0,0
13.02,1.06,4,0.59,4,1,0
